,predictions,file_names
0,disgust,03-01-05-01-01-01-11.wav
1,disgust,03-01-07-01-02-01-13.wav
2,fearful,03-01-03-02-01-01-16.wav
3,disgust,03-01-07-01-02-02-16.wav
4,fearful,03-01-03-01-01-02-16.wav
5,surprised,03-01-08-01-02-01-03.wav
6,neutral,03-01-01-01-02-01-11.wav
7,disgust,03-01-05-01-02-02-11.wav
8,disgust,03-01-05-01-01-02-05.wav
9,angry,03-01-01-01-01-02-05.wav
10,happy,03-01-07-02-01-02-12.wav
11,surprised,03-01-03-01-02-02-18.wav
12,disgust,03-01-07-02-02-02-03.wav
13,surprised,03-01-08-02-02-02-24.wav
14,fearful,03-01-06-02-01-01-11.wav
15,happy,03-01-03-01-01-02-22.wav
16,disgust,03-01-07-02-02-02-11.wav
17,happy,03-01-03-01-02-01-03.wav
18,happy,03-01-01-01-01-02-23.wav
19,angry,03-01-03-02-01-02-03.wav
20,fearful,03-01-05-01-01-01-07.wav
21,angry,03-01-01-01-01-02-17.wav
22,disgust,03-01-07-02-01-01-23.wav
23,disgust,03-01-07-01-01-02-04.wav
24,surprised,03-01-08-02-02-02-06.wav
25,angry,03-01-05-02-01-01-18.wav
26,calm,03-01-01-01-02-01-13.wav
27,neutral,03-01-01-01-01-01-23.wav
28,disgust,03-01-07-02-02-02-10.wav
29,angry,03-01-05-02-02-02-02.wav
30,calm,03-01-02-02-02-02-09.wav
31,angry,03-01-07-02-02-02-18.wav
32,calm,03-01-02-02-02-02-18.wav
33,surprised,03-01-01-01-01-01-07.wav
34,fearful,03-01-06-01-02-02-21.wav
35,calm,03-01-02-01-01-01-08.wav
36,calm,03-01-02-01-02-01-06.wav
37,calm,03-01-02-01-01-02-12.wav
38,disgust,03-01-06-02-02-01-15.wav
39,fearful,03-01-06-02-01-01-14.wav
40,surprised,03-01-08-01-02-02-19.wav
41,calm,03-01-03-01-01-01-09.wav
42,disgust,03-01-03-02-02-01-01.wav
43,calm,03-01-01-01-02-02-18.wav
44,disgust,03-01-07-02-01-02-24.wav
45,surprised,03-01-08-02-02-02-19.wav
46,surprised,03-01-03-01-01-02-14.wav
47,happy,03-01-03-01-02-02-14.wav
48,calm,03-01-02-01-01-01-14.wav
49,happy,03-01-03-02-01-02-05.wav
50,disgust,03-01-05-01-02-02-06.wav
51,calm,03-01-02-01-02-02-15.wav
52,disgust,03-01-05-01-02-02-15.wav
53,happy,03-01-06-01-01-01-03.wav
54,fearful,03-01-08-02-02-01-20.wav
55,calm,03-01-02-01-02-02-04.wav
56,angry,03-01-05-02-01-02-09.wav
57,happy,03-01-03-01-01-02-03.wav
58,angry,03-01-05-02-01-02-19.wav
59,happy,03-01-03-01-01-02-24.wav
60,fearful,03-01-06-01-01-01-14.wav
61,neutral,03-01-01-01-01-02-08.wav
62,angry,03-01-05-02-02-01-14.wav
63,angry,03-01-03-02-02-02-21.wav
64,disgust,03-01-05-01-02-02-07.wav
65,calm,03-01-07-01-02-01-01.wav
66,happy,03-01-03-01-02-01-07.wav
67,angry,03-01-05-02-01-01-17.wav
68,angry,03-01-05-02-02-01-07.wav
69,calm,03-01-01-01-02-02-07.wav
70,neutral,03-01-02-01-01-02-04.wav
71,disgust,03-01-07-02-01-01-03.wav
72,disgust,03-01-07-02-01-01-16.wav
73,happy,03-01-01-01-01-01-04.wav
74,angry,03-01-02-01-01-02-17.wav
75,disgust,03-01-06-01-02-02-11.wav
76,calm,03-01-02-02-01-01-10.wav
77,fearful,03-01-06-02-02-02-02.wav
78,calm,03-01-02-01-01-02-14.wav
79,disgust,03-01-07-01-01-01-17.wav
80,disgust,03-01-07-01-02-02-21.wav
81,angry,03-01-05-02-02-01-17.wav
82,surprised,03-01-08-01-02-02-24.wav
83,neutral,03-01-03-01-01-02-11.wav
84,surprised,03-01-08-01-01-02-09.wav
85,calm,03-01-02-02-01-02-14.wav
86,disgust,03-01-06-02-01-01-09.wav
87,fearful,03-01-05-02-02-01-15.wav
88,disgust,03-01-08-02-01-02-17.wav
89,happy,03-01-08-01-02-02-20.wav
90,angry,03-01-05-02-01-02-23.wav
91,disgust,03-01-07-01-01-02-23.wav
92,disgust,03-01-02-01-01-02-16.wav
93,happy,03-01-03-02-01-02-02.wav
94,happy,03-01-03-02-01-02-23.wav
95,surprised,03-01-08-01-02-01-21.wav
96,happy,03-01-03-02-02-01-18.wav
97,surprised,03-01-08-01-01-01-12.wav
98,calm,03-01-07-01-02-01-15.wav
99,happy,03-01-03-02-02-02-23.wav
100,disgust,03-01-07-01-02-02-03.wav
101,calm,03-01-02-01-01-01-15.wav
102,disgust,03-01-05-01-02-01-15.wav
103,angry,03-01-05-02-02-01-06.wav
104,happy,03-01-07-02-02-02-12.wav
105,calm,03-01-02-02-01-02-23.wav
106,neutral,03-01-01-01-02-02-10.wav
107,angry,03-01-02-01-01-01-17.wav
108,surprised,03-01-08-02-01-01-05.wav
109,surprised,03-01-02-01-02-01-17.wav
110,happy,03-01-05-01-01-01-15.wav
111,fearful,03-01-06-01-01-01-02.wav
112,disgust,03-01-08-02-02-01-22.wav
113,neutral,03-01-07-02-01-02-08.wav
114,disgust,03-01-08-01-02-01-13.wav
115,surprised,03-01-08-01-01-01-10.wav
116,calm,03-01-02-02-02-01-17.wav
117,happy,03-01-06-02-01-01-19.wav
118,surprised,03-01-08-01-01-01-08.wav
119,calm,03-01-02-01-01-02-21.wav
120,happy,03-01-06-02-01-01-17.wav
121,angry,03-01-05-01-01-02-13.wav
122,calm,03-01-02-01-01-02-01.wav
123,neutral,03-01-01-01-02-01-16.wav
124,disgust,03-01-08-01-01-01-15.wav
125,fearful,03-01-06-01-01-01-06.wav
126,fearful,03-01-06-02-02-01-01.wav
127,angry,03-01-05-01-02-02-24.wav
128,calm,03-01-02-01-02-02-14.wav
129,happy,03-01-08-01-01-01-04.wav
130,disgust,03-01-08-02-02-02-17.wav
131,fearful,03-01-06-02-01-02-01.wav
132,calm,03-01-02-02-01-02-09.wav
133,disgust,03-01-06-02-02-02-18.wav
134,calm,03-01-02-02-02-02-05.wav
135,fearful,03-01-08-02-02-01-03.wav
136,surprised,03-01-08-01-01-01-05.wav
137,disgust,03-01-07-02-01-02-18.wav
138,calm,03-01-02-01-01-02-13.wav
139,surprised,03-01-03-02-02-01-16.wav
140,calm,03-01-02-02-01-01-09.wav
141,surprised,03-01-08-02-01-01-13.wav
142,calm,03-01-02-02-01-02-13.wav
143,calm,03-01-02-02-02-02-17.wav
144,fearful,03-01-06-01-02-01-04.wav
145,disgust,03-01-06-01-01-01-21.wav
146,surprised,03-01-08-01-02-01-08.wav
147,disgust,03-01-07-01-02-01-19.wav
148,angry,03-01-03-02-02-02-01.wav
149,angry,03-01-05-01-01-02-12.wav
150,disgust,03-01-07-01-01-01-06.wav
151,disgust,03-01-05-01-01-01-01.wav
152,happy,03-01-03-02-02-01-11.wav
153,fearful,03-01-06-01-01-02-08.wav
154,disgust,03-01-08-02-02-01-01.wav
155,angry,03-01-05-02-02-01-20.wav
156,calm,03-01-02-02-02-01-19.wav
157,disgust,03-01-05-01-01-02-01.wav
158,fearful,03-01-05-02-01-01-07.wav
159,disgust,03-01-02-01-01-01-04.wav
160,disgust,03-01-07-01-01-02-09.wav
161,angry,03-01-05-02-01-02-12.wav
162,surprised,03-01-08-01-02-01-23.wav
163,neutral,03-01-07-01-01-02-08.wav
164,happy,03-01-03-02-02-01-20.wav
165,disgust,03-01-07-02-01-01-22.wav
166,calm,03-01-02-02-02-01-08.wav
167,calm,03-01-02-02-01-01-21.wav
168,surprised,03-01-08-02-01-02-08.wav
169,surprised,03-01-08-01-01-02-16.wav
170,fearful,03-01-06-01-01-01-13.wav
171,fearful,03-01-07-01-02-02-09.wav
172,fearful,03-01-06-02-02-01-10.wav
173,disgust,03-01-05-01-01-02-02.wav
174,fearful,03-01-05-01-01-02-06.wav
175,calm,03-01-02-02-02-01-20.wav
176,disgust,03-01-07-02-02-01-16.wav
177,surprised,03-01-07-01-01-01-08.wav
178,angry,03-01-05-02-01-02-11.wav
179,happy,03-01-03-02-02-01-05.wav
180,happy,03-01-08-01-01-02-20.wav
181,fearful,03-01-08-02-01-01-17.wav
182,neutral,03-01-07-01-01-02-03.wav
183,fearful,03-01-06-02-01-01-07.wav
184,surprised,03-01-08-01-01-01-24.wav
185,disgust,03-01-08-02-01-01-04.wav
186,disgust,03-01-06-01-02-02-15.wav
187,surprised,03-01-08-01-01-02-17.wav
188,calm,03-01-01-01-02-01-18.wav
189,angry,03-01-05-01-02-02-16.wav
190,surprised,03-01-03-02-02-02-19.wav
191,happy,03-01-08-02-01-02-02.wav
192,disgust,03-01-02-01-02-01-08.wav
193,fearful,03-01-03-02-02-02-24.wav
194,happy,03-01-08-02-02-02-20.wav
195,surprised,03-01-08-01-02-02-14.wav
196,angry,03-01-05-02-02-01-04.wav
197,angry,03-01-05-02-01-01-23.wav
198,surprised,03-01-07-02-01-01-19.wav
199,calm,03-01-02-01-01-02-02.wav
200,angry,03-01-05-02-01-02-04.wav
201,calm,03-01-02-02-01-02-17.wav
202,disgust,03-01-03-01-02-01-11.wav
203,happy,03-01-08-01-02-01-20.wav
204,fearful,03-01-06-01-01-01-16.wav
205,calm,03-01-02-02-01-01-06.wav
206,happy,03-01-08-01-02-02-11.wav
207,fearful,03-01-06-02-01-01-22.wav
208,happy,03-01-03-01-02-01-10.wav
209,fearful,03-01-03-02-02-02-07.wav
210,angry,03-01-05-02-01-01-06.wav
211,calm,03-01-01-01-02-02-21.wav
212,calm,03-01-02-02-02-01-22.wav
213,fearful,03-01-06-01-02-02-24.wav
214,disgust,03-01-03-01-02-01-24.wav
215,angry,03-01-05-02-02-01-21.wav
216,disgust,03-01-07-02-01-02-09.wav
217,surprised,03-01-08-02-01-02-09.wav
218,surprised,03-01-03-01-01-01-03.wav
219,calm,03-01-05-01-01-01-17.wav
220,surprised,03-01-08-01-02-02-01.wav
221,angry,03-01-05-02-02-02-03.wav
222,angry,03-01-05-01-01-02-18.wav
223,surprised,03-01-03-01-01-01-18.wav
224,fearful,03-01-06-01-01-01-23.wav
225,angry,03-01-05-01-02-02-02.wav
226,disgust,03-01-01-01-01-02-07.wav
227,surprised,03-01-08-01-02-02-21.wav
228,surprised,03-01-03-01-01-01-23.wav
229,disgust,03-01-05-02-01-02-07.wav
230,surprised,03-01-08-01-01-01-14.wav
231,happy,03-01-03-01-02-02-12.wav
232,calm,03-01-02-01-01-01-23.wav
233,calm,03-01-01-01-01-02-18.wav
234,calm,03-01-01-01-01-01-18.wav
235,fearful,03-01-03-02-01-02-12.wav
236,surprised,03-01-08-02-02-01-12.wav
237,angry,03-01-05-02-01-02-20.wav
238,calm,03-01-02-02-02-01-09.wav
239,angry,03-01-05-01-01-02-08.wav
240,disgust,03-01-07-01-01-01-19.wav
241,surprised,03-01-06-02-02-01-14.wav
242,disgust,03-01-05-01-02-01-03.wav
243,fearful,03-01-06-01-02-01-03.wav
244,neutral,03-01-01-01-02-01-14.wav
245,calm,03-01-02-02-02-01-18.wav
246,angry,03-01-05-01-01-02-14.wav
247,angry,03-01-06-02-01-02-20.wav
248,angry,03-01-05-02-02-02-15.wav
249,calm,03-01-02-02-02-01-11.wav
250,fearful,03-01-06-01-01-01-20.wav
251,surprised,03-01-08-01-01-01-11.wav
252,fearful,03-01-06-02-01-02-08.wav
253,calm,03-01-01-01-01-01-12.wav
254,angry,03-01-05-01-02-02-12.wav
255,fearful,03-01-06-01-01-02-07.wav
256,surprised,03-01-08-01-02-02-13.wav
257,neutral,03-01-01-01-02-01-19.wav
258,fearful,03-01-03-01-02-02-23.wav
259,surprised,03-01-08-02-02-02-01.wav
260,happy,03-01-03-02-02-01-07.wav
261,disgust,03-01-07-02-02-01-11.wav
262,calm,03-01-02-01-02-02-02.wav
263,calm,03-01-02-02-01-02-12.wav
264,disgust,03-01-02-02-01-01-03.wav
265,fearful,03-01-06-01-02-01-13.wav
266,fearful,03-01-03-01-02-01-09.wav
267,surprised,03-01-08-02-02-01-10.wav
268,fearful,03-01-06-02-01-01-02.wav
269,surprised,03-01-08-02-01-02-13.wav
270,angry,03-01-08-01-01-01-02.wav
271,happy,03-01-03-02-01-01-08.wav
272,calm,03-01-02-01-02-01-01.wav
273,calm,03-01-01-01-01-02-12.wav
274,calm,03-01-02-01-01-02-23.wav
275,fearful,03-01-08-01-01-02-03.wav
276,happy,03-01-03-02-01-02-19.wav
277,calm,03-01-03-01-02-01-18.wav
278,surprised,03-01-07-02-01-01-15.wav
279,calm,03-01-02-02-02-01-10.wav
280,surprised,03-01-08-02-02-02-09.wav
281,disgust,03-01-07-01-01-01-03.wav
282,happy,03-01-03-01-01-01-17.wav
283,disgust,03-01-02-01-02-01-23.wav
284,disgust,03-01-03-01-02-01-01.wav
285,fearful,03-01-06-02-01-02-05.wav
286,happy,03-01-03-02-02-01-15.wav
287,disgust,03-01-07-02-02-01-08.wav
288,calm,03-01-02-01-02-02-21.wav
289,surprised,03-01-08-01-02-02-15.wav
290,angry,03-01-05-02-02-02-14.wav
291,angry,03-01-01-01-02-02-02.wav
292,angry,03-01-05-01-01-01-18.wav
293,angry,03-01-03-01-02-02-09.wav
294,disgust,03-01-08-02-01-01-14.wav
295,calm,03-01-02-01-02-01-22.wav
296,fearful,03-01-03-02-01-01-12.wav
297,happy,03-01-08-02-01-01-02.wav
298,surprised,03-01-06-01-02-01-05.wav
299,calm,03-01-02-01-02-02-23.wav
300,happy,03-01-05-01-01-02-10.wav
301,surprised,03-01-05-01-01-01-02.wav
302,angry,03-01-05-02-02-02-12.wav
303,angry,03-01-05-02-02-02-21.wav
304,disgust,03-01-06-01-01-02-12.wav
305,disgust,03-01-07-01-02-01-06.wav
306,fearful,03-01-05-02-01-02-13.wav
307,fearful,03-01-06-01-02-02-14.wav
308,angry,03-01-05-02-01-01-20.wav
309,disgust,03-01-07-02-01-02-21.wav
310,disgust,03-01-07-02-02-02-21.wav
311,happy,03-01-05-02-02-02-20.wav
